,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,2761.0200486267336,10,0.0003852910012938082,"[np.int64(13), np.int64(39), np.int64(30), np.int64(45), np.int64(17), np.int64(48), np.int64(26), np.int64(25), np.int64(32), np.int64(19), np.int64(12), np.int64(4), np.int64(37), np.int64(8), np.int64(3), np.int64(6), np.int64(41), np.int64(46), np.int64(47), np.int64(15), np.int64(9), np.int64(16), np.int64(24), np.int64(34), np.int64(31), np.int64(0), np.int64(44), np.int64(27), np.int64(33), np.int64(5), np.int64(29), np.int64(11), np.int64(36), np.int64(1), np.int64(21), np.int64(2), np.int64(43), np.int64(35), np.int64(23), np.int64(40), np.int64(10), np.int64(22), np.int64(18), np.int64(49), np.int64(20), np.int64(7), np.int64(42), np.int64(14), np.int64(28), np.int64(38)]",True,10,0.3,95
1,5,2355.8504697496664,66,0.8896481249976205,"[np.int8(35), np.int8(28), np.int8(12), np.int8(16), np.int8(48), np.int8(26), np.int8(19), np.int8(9), np.int8(23), np.int8(21), np.int8(13), np.int8(14), np.int8(5), np.int8(3), np.int8(7), np.int8(45), np.int8(42), np.int8(31), np.int8(33), np.int8(20), np.int8(46), np.int8(18), np.int8(2), np.int8(49), np.int8(8), np.int8(44), np.int8(41), np.int8(4), np.int8(11), np.int8(37), np.int8(36), np.int8(43), np.int8(1), np.int8(25), np.int8(15), np.int8(6), np.int8(34), np.int8(29), np.int8(30), np.int8(22), np.int8(24), np.int8(27), np.int8(10), np.int8(0), np.int8(47), np.int8(17), np.int8(38), np.int8(39), np.int8(32), np.int8(40)]",True,10,0.3,95
2,10,2355.8504697496664,121,1.7630705830015359,"[np.int8(35), np.int8(28), np.int8(12), np.int8(16), np.int8(48), np.int8(26), np.int8(19), np.int8(9), np.int8(23), np.int8(21), np.int8(13), np.int8(14), np.int8(5), np.int8(3), np.int8(7), np.int8(45), np.int8(42), np.int8(31), np.int8(33), np.int8(20), np.int8(46), np.int8(18), np.int8(2), np.int8(49), np.int8(8), np.int8(44), np.int8(41), np.int8(4), np.int8(11), np.int8(37), np.int8(36), np.int8(43), np.int8(1), np.int8(25), np.int8(15), np.int8(6), np.int8(34), np.int8(29), np.int8(30), np.int8(22), np.int8(24), np.int8(27), np.int8(10), np.int8(0), np.int8(47), np.int8(17), np.int8(38), np.int8(39), np.int8(32), np.int8(40)]",True,10,0.3,95
3,15,2355.8504697496664,176,2.660568958002841,"[np.int8(35), np.int8(28), np.int8(12), np.int8(16), np.int8(48), np.int8(26), np.int8(19), np.int8(9), np.int8(23), np.int8(21), np.int8(13), np.int8(14), np.int8(5), np.int8(3), np.int8(7), np.int8(45), np.int8(42), np.int8(31), np.int8(33), np.int8(20), np.int8(46), np.int8(18), np.int8(2), np.int8(49), np.int8(8), np.int8(44), np.int8(41), np.int8(4), np.int8(11), np.int8(37), np.int8(36), np.int8(43), np.int8(1), np.int8(25), np.int8(15), np.int8(6), np.int8(34), np.int8(29), np.int8(30), np.int8(22), np.int8(24), np.int8(27), np.int8(10), np.int8(0), np.int8(47), np.int8(17), np.int8(38), np.int8(39), np.int8(32), np.int8(40)]",True,10,0.3,95
4,20,2355.8504697496664,231,3.65364266600227,"[np.int8(35), np.int8(28), np.int8(12), np.int8(16), np.int8(48), np.int8(26), np.int8(19), np.int8(9), np.int8(23), np.int8(21), np.int8(13), np.int8(14), np.int8(5), np.int8(3), np.int8(7), np.int8(45), np.int8(42), np.int8(31), np.int8(33), np.int8(20), np.int8(46), np.int8(18), np.int8(2), np.int8(49), np.int8(8), np.int8(44), np.int8(41), np.int8(4), np.int8(11), np.int8(37), np.int8(36), np.int8(43), np.int8(1), np.int8(25), np.int8(15), np.int8(6), np.int8(34), np.int8(29), np.int8(30), np.int8(22), np.int8(24), np.int8(27), np.int8(10), np.int8(0), np.int8(47), np.int8(17), np.int8(38), np.int8(39), np.int8(32), np.int8(40)]",True,10,0.3,95
5,25,2355.8504697496664,286,4.631239458001801,"[np.int8(35), np.int8(28), np.int8(12), np.int8(16), np.int8(48), np.int8(26), np.int8(19), np.int8(9), np.int8(23), np.int8(21), np.int8(13), np.int8(14), np.int8(5), np.int8(3), np.int8(7), np.int8(45), np.int8(42), np.int8(31), np.int8(33), np.int8(20), np.int8(46), np.int8(18), np.int8(2), np.int8(49), np.int8(8), np.int8(44), np.int8(41), np.int8(4), np.int8(11), np.int8(37), np.int8(36), np.int8(43), np.int8(1), np.int8(25), np.int8(15), np.int8(6), np.int8(34), np.int8(29), np.int8(30), np.int8(22), np.int8(24), np.int8(27), np.int8(10), np.int8(0), np.int8(47), np.int8(17), np.int8(38), np.int8(39), np.int8(32), np.int8(40)]",True,10,0.3,95
6,30,2355.8504697496664,341,5.490089790997445,"[np.int8(35), np.int8(28), np.int8(12), np.int8(16), np.int8(48), np.int8(26), np.int8(19), np.int8(9), np.int8(23), np.int8(21), np.int8(13), np.int8(14), np.int8(5), np.int8(3), np.int8(7), np.int8(45), np.int8(42), np.int8(31), np.int8(33), np.int8(20), np.int8(46), np.int8(18), np.int8(2), np.int8(49), np.int8(8), np.int8(44), np.int8(41), np.int8(4), np.int8(11), np.int8(37), np.int8(36), np.int8(43), np.int8(1), np.int8(25), np.int8(15), np.int8(6), np.int8(34), np.int8(29), np.int8(30), np.int8(22), np.int8(24), np.int8(27), np.int8(10), np.int8(0), np.int8(47), np.int8(17), np.int8(38), np.int8(39), np.int8(32), np.int8(40)]",True,10,0.3,95
7,35,2355.8504697496664,396,6.461617749999277,"[np.int8(35), np.int8(28), np.int8(12), np.int8(16), np.int8(48), np.int8(26), np.int8(19), np.int8(9), np.int8(23), np.int8(21), np.int8(13), np.int8(14), np.int8(5), np.int8(3), np.int8(7), np.int8(45), np.int8(42), np.int8(31), np.int8(33), np.int8(20), np.int8(46), np.int8(18), np.int8(2), np.int8(49), np.int8(8), np.int8(44), np.int8(41), np.int8(4), np.int8(11), np.int8(37), np.int8(36), np.int8(43), np.int8(1), np.int8(25), np.int8(15), np.int8(6), np.int8(34), np.int8(29), np.int8(30), np.int8(22), np.int8(24), np.int8(27), np.int8(10), np.int8(0), np.int8(47), np.int8(17), np.int8(38), np.int8(39), np.int8(32), np.int8(40)]",True,10,0.3,95
8,40,2355.8504697496664,451,7.3355802910009515,"[np.int8(35), np.int8(28), np.int8(12), np.int8(16), np.int8(48), np.int8(26), np.int8(19), np.int8(9), np.int8(23), np.int8(21), np.int8(13), np.int8(14), np.int8(5), np.int8(3), np.int8(7), np.int8(45), np.int8(42), np.int8(31), np.int8(33), np.int8(20), np.int8(46), np.int8(18), np.int8(2), np.int8(49), np.int8(8), np.int8(44), np.int8(41), np.int8(4), np.int8(11), np.int8(37), np.int8(36), np.int8(43), np.int8(1), np.int8(25), np.int8(15), np.int8(6), np.int8(34), np.int8(29), np.int8(30), np.int8(22), np.int8(24), np.int8(27), np.int8(10), np.int8(0), np.int8(47), np.int8(17), np.int8(38), np.int8(39), np.int8(32), np.int8(40)]",True,10,0.3,95
9,45,2355.8504697496664,506,8.325250000001688,"[np.int8(35), np.int8(28), np.int8(12), np.int8(16), np.int8(48), np.int8(26), np.int8(19), np.int8(9), np.int8(23), np.int8(21), np.int8(13), np.int8(14), np.int8(5), np.int8(3), np.int8(7), np.int8(45), np.int8(42), np.int8(31), np.int8(33), np.int8(20), np.int8(46), np.int8(18), np.int8(2), np.int8(49), np.int8(8), np.int8(44), np.int8(41), np.int8(4), np.int8(11), np.int8(37), np.int8(36), np.int8(43), np.int8(1), np.int8(25), np.int8(15), np.int8(6), np.int8(34), np.int8(29), np.int8(30), np.int8(22), np.int8(24), np.int8(27), np.int8(10), np.int8(0), np.int8(47), np.int8(17), np.int8(38), np.int8(39), np.int8(32), np.int8(40)]",True,10,0.3,95
